,text,clean
10,Mevzular 56 Yayında!   https://piped.kavin.rocks/jL7VZ6V8dhI?si=5iMhyC5euQaOyUUa,mevzular yayında
11,Yeni Formatımız Konuşcaz! Yayında…  https://piped.kavin.rocks/6QgN7mmojtA?si=C7tvlpBdmWE02-U9,yeni formatımız konuşcaz yayında
12,…,
13,Kutlayacak 100’ümüz var! Cumhuriyetimizin 100. Yılı Kutlu Olsun 🇹🇷,kutlayacak cumhuriyetimizin yılı kutlu olsun
14,Kutlayacak 100ümüz var! Cumhuriyetimizin 100. Yılı Kutlu olsun. 🇹🇷,kutlayacak ümüz cumhuriyetimizin yılı kutlu olsun
15,Parla! 100 Yaşındasın! 🇹🇷#mevzularaçıkmikrofon @GainMedya,parla yaşındasın
16,Kimseye İhtiyaç Duymadan Yatırım Yapmak - Ekonomi 101 Yayında… @TheBullduck https://piped.kavin.rocks/P5oXG0MSyd8?si=equsj1Qj7HHNAqDX,kimseye ihtiyaç duymadan yatırım yapmak ekonomi yayında
17,Mevzular 55  Konumuz: Cumhuriyet ve Lozan   https://piped.kavin.rocks/U7MbwZbOWJ8?si=lQAW5J1Qh7pD1s2M,mevzular konumuz cumhuriyet lozan
18,"Mevzular Açık Mikrofon programına konuk olan Celal Şengör ve İlber Ortaylı’nın ""Filistin topraklarını sattı mı?"" sorusuna cevabı:  ""Filistin toprak satmadı diyenler zır cahillerdir.""",mevzular açık mikrofon programına konuk celal şengör ilber ortaylı filistin topraklarını sattı sorusuna cevabı filistin toprak satmadı diyenler zır cahillerdir
19,"Gözümüzü bölgeden ayırmayacağız, sizlere iletmekle mükellefiz. Kış geliyor. Kulak veriniz.",gözümüzü bölgeden ayırmayacağız sizlere iletmekle mükellefiz kış geliyor kulak veriniz
20,Gain’de yayınlanacak olan Mevzular Açık Mikrofon 100. Yıl Özel Programımız için davetiyeleri göndermeye başladık. Lütfen profilinizi açık konuma getirin. Gizli hesaplara davetiye gönderemiyoruz. 🙏🏼,gain yayınlanacak mevzular açık mikrofon yıl özel programımız davetiyeleri göndermeye başladık lütfen profilinizi açık konuma getirin gizli hesaplara davetiye gönderemiyoruz
21,"Mevzular Açık Mikrofon’da soru sormak isterseniz bu postun altına #sorumvar yazın ve ekip arkadaşlarımız size ulaşsın.  -Mevzular Açık Mikrofon 100. Yıl Özel programı Prof. Dr. İlber Ortaylı ve Prof. Dr. Celal Şengör’ün katılımıyla gerçekleşecektir.  -Format gereği konularımız “Atatürk, Cumhuriyet ve 100. Yılında Türkiye” bu program özelinde sormak istediğiniz soruları sorabilirsiniz.  -Listede ismi bulunmayan salona kesinlikle alınmayacaktır.  -Profillerinizin Açık Olması Gerekmektedir.  -Konum ve Saat bilgisi davetiye üzerinden paylaşılacaktır.",mevzular açık mikrofon soru sormak isterseniz postun altına yazın ekip arkadaşlarımız ulaşsın mevzular açık mikrofon yıl özel programı prof ilber ortaylı prof celal şengör katılımıyla gerçekleşecektir format gereği konularımız atatürk cumhuriyet yılında türkiye program özelinde sormak istediğiniz soruları sorabilirsiniz listede ismi bulunmayan salona kesinlikle alınmayacaktır profillerinizin açık olması gerekmektedir konum saat bilgisi davetiye üzerinden paylaşılacaktır
22,Ekonomi 101 | Türkiye’den Gitmenin Maliyetini Konuştuğumuz Bölümüyle Yayında… https://piped.kavin.rocks/fKbDVFcdV_0?si=3FIlEPAqWstbN2o6,ekonomi türkiye gitmenin maliyetini konuştuğumuz bölümüyle yayında
23,"Dün, Bugün, Yarın ve DAİMA! 🇹🇷 Mevzular Açık Mikrofon 100. Yıl Özel İlk Tanıtım.",dün bugün yarın daima mevzular açık mikrofon yıl özel tanıtım
24,Ekonomi 101 Yayında… https://piped.kavin.rocks/fKbDVFcdV_0?si=koc4n2gyjfRVzSQj,ekonomi yayında
25,"Bu bölümümüzde yurt dışına gitmenin kişiye ve ülkemize maliyetini, ülkemize en çok göç veren ülkeleri ve yaşamış birinin gözünden Fransa, Brezilya ve Norveç ülkelerindeki hayatı konuştuk. İyi seyirler! @TheBullduck",bölümümüzde yurt dışına gitmenin kişiye ülkemize maliyetini ülkemize göç veren ülkeleri yaşamış birinin gözünden fransa brezilya norveç ülkelerindeki hayatı konuştuk iyi seyirler
26,"Mevzular Açık Mikrofon 100. Yıl Özel! 🇹🇷 Konumuz Atatürk, Cumhuriyet ve 100. Yılında Türkiye.  Sizler de gelmek isterseniz, katılım başvurusu için 2 Ekim’i bekleyiniz.  Tarihimizi kitaplardan ya da tanıklardan değil de, dayınızdan, amcanızdan ya da facebook şeyhlerinden öğrendiyseniz, muhakkak gelmelisiniz. #mevzularaçıkmikrofon #gain",mevzular açık mikrofon yıl özel konumuz atatürk cumhuriyet yılında türkiye sizler gelmek isterseniz katılım başvurusu ekim bekleyiniz tarihimizi kitaplardan tanıklardan dayınızdan amcanızdan facebook şeyhlerinden öğrendiyseniz muhakkak gelmelisiniz
27,Adıyaman’dayız… 04.17,adıyaman
28,Mevzular Yeni Bölümüyle Babala Tv’de Yayında!  https://piped.kavin.rocks/0bdLthx0cYc?si=UyWFGRIHt0zY6Y7_,mevzular yeni bölümüyle babala yayında
29,İkinci el araç fiyatları %10 düşmüş. https://m.tr.investing.com/news/economy/ikinci-el-otomobil-fiyatlar-2-yl-sonra-dususe-gecti-2530457,ikinci araç fiyatları düşmüş
30,🇹🇷,
31,"Kış yaklaşıyor. Haftaya BabalaTV ekibi depremden etkilenen şehirlerimizi tek tek gezecek ve son durumu memleketle paylaşacak. Sesini duyurmak isteyenlere tekrar mikrofon uzatacağız. Söz vermiştim. Gözyaşınız kuruyana kadar değil, daima yanınızdayız!  @BabalaTv",kış yaklaşıyor haftaya babalatv ekibi depremden etkilenen şehirlerimizi tek tek gezecek durumu memleketle paylaşacak sesini duyurmak isteyenlere tekrar mikrofon uzatacağız söz vermiştim gözyaşınız kuruyana daima yanınızdayız
32,🇹🇷,
33,"Bizleri altını çizerek uyardığın zamanlardan geçiyoruz. Okuduk, anladık, farkındayız, buradayız! Sarsılıyoruz ama dimdik ayaktayız. Halen senden medet umanlara da aldırma. Sen yapabileceğinin en iyisini yaptın. Ruhun ferah olsun. Biz seniz! Bu milleti başka zaferlere muhtaç etmeyeceğiz. Huzurla uyuyunuz.  30 Ağustos Zafer Bayramımız Kutlu Olsun…  Dün, bugün, yarın ve DAİMA! 🇹🇷",bizleri altını çizerek uyardığın zamanlardan geçiyoruz okuduk anladık farkındayız buradayız sarsılıyoruz dimdik ayaktayız halen medet umanlara aldırma yapabileceğinin iyisini yaptın ruhun ferah olsun seniz milleti başka zaferlere muhtaç etmeyeceğiz huzurla uyuyunuz ağustos zafer bayramımız kutlu olsun dün bugün yarın daima
34,"Ekspertiz programıyla karşınızdayız! Programımızda estetiğe dair her şeyi, bazen konuklarla bazen tek başına Merve değerlendirecek! https://piped.kavin.rocks/pc6cCBojXPQ?si=goyHqyhW3F8N9AuU",ekspertiz programıyla karşınızdayız programımızda estetiğe dair konuklarla tek başına merve değerlendirecek
35,Linç yemeyeceğim ilk progr….. oh boy 🤦🏻‍♂️ 2. Tanıtım! Buyurunuz. #gain #mevzularaçıkmikrofon   pek yakında @GainMedya da,linç yemeyeceğim progr boy tanıtım buyurunuz pek yakında
36,"Cumhuriyetimizin 100. Yılı için muazzam bir program hazırlıyoruz. Atatürk’ü ve Cumhuriyeti konuşacağız. Türkiye’den ve Avrupa’dan tarihçiler, TSK arşivine hakim emekli komutanlarımız, öğretmenlerimiz ve gençlerimiz salonda olacak. Açılış içinse çok büyük bir sürprizim var. Cumhuriyetimizin kıymetini bilmek ve Atatürk’ü anlamak için! #mevzularaçıkmikrofon #gain",cumhuriyetimizin yılı muazzam program hazırlıyoruz atatürk cumhuriyeti konuşacağız türkiye avrupa tarihçiler tsk arşivine hakim emekli komutanlarımız öğretmenlerimiz gençlerimiz salonda olacak açılış içinse büyük sürprizim cumhuriyetimizin kıymetini bilmek atatürk anlamak
37,Geldim geldim 😅 #mevzularaçıkmikrofon,geldim geldim
38,Mevzular Açık Mikrofon yeni sezon başlıyor. Dünya vatandaşlığı alan ilk yapay zeka robot Sophia konuğumuz oluyor. Katılmak isteyenler #sorumvar etiketiyle yoruma lütfen 👇🏻#mevzularaçıkmikrofon,mevzular açık mikrofon yeni sezon başlıyor dünya vatandaşlığı alan yapay zeka robot sophia konuğumuz oluyor katılmak isteyenler etiketiyle yoruma lütfen
39,"Ekonomi 101, Enflasyonun Konuşulduğu Bölümüyle Yayında…  https://piped.kavin.rocks/hahJgwFKa8o",ekonomi enflasyonun konuşulduğu bölümüyle yayında
40,Şimdi yayında @BabalaTv @TheBullduck,yayında
41,"Akit tayfa vatan haini dedi yine bana 🥹 Hiç anlamıyorum. Hadi ben vatan hainiyim de, siz nasıl vatansever oluyorsunuz? Gerçekten anlamıyorum.  Bayrak bayrak diye öldünüz, memleketin göbeğine bayrak diktiler, sustunuz. Vatan toprağı dediniz, hilaller, destanlar havada uçuştu, gaza da geldiniz misler gibi. Milyonlar doluştu vatana, sustunuz. Göz göre göre akın ettiler, alayınız alkışladınız. Bunda bir terslik yok mu? İsteyen istediği tercihi yapar, kimsenin cinsel yönelimi kimseyi bağlamaz dedik,  LGBTci yaptınız. İbne bile dediniz. Ancak siz, bu yaz 9 yaşında oğlanlara hallenen adamlarla aynı plajda yüzdünüz, erkek çocuklarına tecavüz eden adamlarla komşu oldunuz. Asıl bunda bi ibnelik yok mu? Soğan 1000₺ olsa da vatana canım feda dediniz, elbette öyle. Sonra o vatanın sokaklarında taciz edildiniz. Taksiciler durmadı size, yabancı müşterilerini aldı. Emlakçılar küçük gördü sizi, pazarlık bile yapmadı -zaten alamazdın da- o yine evi yabancıya sattı. Vatanının parasını kabul etmeyen galerilerde dolar hesapladın sen. Git bir çay iç desem içemezsin, kafenin boş masaları da yabancılara ayırtıldı. Olsun be! Hava bedava. Git parka bir soluklan bi ağaç altında. Aaa pardon… Şu an o parkta yabancılar ucuzluktan faydalanıyorlar, üzerine yapılan beton binalarda. Vatana canın feda öyle mi? Peeeki. Ben hainim. Hainim de, siz mümkün değil vatansever değilsiniz moruks. ☝🏻",akit tayfa vatan haini dedi anlamıyorum hadi vatan hainiyim vatansever oluyorsunuz gerçekten anlamıyorum bayrak bayrak öldünüz memleketin göbeğine bayrak diktiler sustunuz vatan toprağı dediniz hilaller destanlar havada uçuştu gaza geldiniz misler milyonlar doluştu vatana sustunuz göz göre göre akın ettiler alayınız alkışladınız terslik yok isteyen istediği tercihi yapar kimsenin cinsel yönelimi kimseyi bağlamaz dedik lgbtci yaptınız ibne dediniz yaz yaşında oğlanlara hallenen adamlarla aynı plajda yüzdünüz erkek çocuklarına tecavüz eden adamlarla komşu oldunuz asıl ibnelik yok soğan olsa vatana canım feda dediniz vatanın sokaklarında taciz edildiniz taksiciler durmadı yabancı müşterilerini aldı emlakçılar küçük gördü pazarlık yapmadı alamazdın evi yabancıya sattı vatanının parasını kabul etmeyen galerilerde dolar hesapladın git çay iç desem içemezsin kafenin boş masaları yabancılara ayırtıldı olsun hava bedava git parka soluklan ağaç altında pardon parkta yabancılar ucuzluktan faydalanıyorlar üzerine yapılan beton binalarda vatana canın feda peeeki hainim hainim mümkün vatansever değilsiniz moruks
42,Mevzular Açık Mikrofon yeni sezon başlıyor. Dünya vatandaşlığı alan ilk yapay zeka robot Sophia konuğumuz oluyor. Neler soracağınızı ve vereceği cevapları çok merak ediyorum. Katılmak isteyenler #sorumvar etiketiyle yoruma lütfen 👇🏻#mevzularaçıkmikrofon,mevzular açık mikrofon yeni sezon başlıyor dünya vatandaşlığı alan yapay zeka robot sophia konuğumuz oluyor neler soracağınızı vereceği cevapları merak ediyorum katılmak isteyenler etiketiyle yoruma lütfen
43,"Babala ekibin medarı iftiharı @efehizir ı, eşini ve dünyalar güzeli bebekleri Arven’i Kanada’ya uğurladık. Oralarda da muazzam işer yapacağına eminiz ve elbette çok özleyeceğiz. Kanada’dan takip edenler varsa, Kanada raconunu Efeciğimize öğretsinler. Tokatlamasınlar orada Efemizi",babala ekibin medarı iftiharı eşini dünyalar güzeli bebekleri arven kanada uğurladık oralarda muazzam işer yapacağına eminiz özleyeceğiz kanada takip edenler varsa kanada raconunu efeciğimize öğretsinler tokatlamasınlar efemizi
44,Ekonomiyi öğretmekle kalmayıp size değer katacak program ‘Efe Bulduk’la Ekonomi 101’ Babala Tv’de yayında…  @TheBullduck https://piped.kavin.rocks/LkpT0VFQ5XU,ekonomiyi öğretmekle kalmayıp değer katacak program efe bulduk ekonomi babala yayında
45,"Gezi parkı zamanında binlerce insanın arasına şarkılı türkülü parti otobüsüyle dalmış, kahramanlarınız geldi havalarıyla eylemcilere gülücük saçmışlardı. Amaç şikayeti çözmek değil, şikayetçileri cezbetmekti… Bu da aynı film. Ancak zaman başka… 50 bin insan ölürken vekillik, başkanlık, bakanlık tartışmalarına girdiğinizde anladı millet nihayet.  Seçimin ertesi günü vatandaş seçimi kaybetmenin verdiği bunalımı yaşarken, bazılarınızın güle oynaya kazandığınız vekillikleri kutladınız. Hem de sırıtarak, hem de size oy veren mutsuz insanların gözüne sokarak. Her şey değişir. Siz aynısınız! Takım elbiseleriniz, cümleleriniz, çıkarlarınız, taktikleriniz… yani bütünüyle siz! Artık midemi bulandırıyorsunuz.",gezi parkı zamanında binlerce insanın arasına şarkılı türkülü parti otobüsüyle dalmış kahramanlarınız havalarıyla eylemcilere gülücük saçmışlardı amaç şikayeti çözmek şikayetçileri cezbetmekti aynı film zaman başka insan ölürken vekillik başkanlık bakanlık tartışmalarına girdiğinizde anladı millet nihayet seçimin ertesi günü vatandaş seçimi kaybetmenin verdiği bunalımı yaşarken bazılarınızın güle oynaya kazandığınız vekillikleri kutladınız sırıtarak oy veren mutsuz insanların gözüne sokarak değişir aynısınız takım elbiseleriniz cümleleriniz çıkarlarınız taktikleriniz bütünüyle midemi bulandırıyorsunuz
46,Mesayi 3.Bölümüyle Yayında… https://piped.kavin.rocks/ytQubMMyvOI,mesayi bölümüyle yayında
47,"An itibarıyla GAİN platformunun yönetim kurulu üyesiyim. Bu unvan beni daha olgun ve yaşlı hissettiriyor ama çok sevdim. BabalaTV son sürat içeriklerine devam ederken, GAİN ile de yeni sezonda sizlere muazzam diziler, pek iddialı filmler ve uzun soluklu içerikler sunmak için kolları sıvadık. Amacımız bu yerli platformun dünyada konuşulan ve takip edilen bir mecra haline gelmesi. Sektörün meşhur alicengiz oyunlarının bize sirayet edemeyeceğini de düşünürsek, ülkemdeki eşsiz yetenekleri dünyayla buluşturmak hiç de zor olmayacaktır diye umuyor, bu küstah iddiamı lokal medyadan, globalin tam göbeğine gönderiyorum. Yapmadığımız şey değil =) Sayenizde elbette. Bize bu haddi verdikleri için çok mutluyum. Artık sınırsız hayallerimizin bir yol arkadaşı var. Heyecanımı hepinizle paylaşmak istedim. Allah utandırmasın. Sanırım şimdi gidip kendime bir takım elbise almalıyım.",itibarıyla gain platformunun yönetim kurulu üyesiyim unvan olgun yaşlı hissettiriyor sevdim babalatv sürat içeriklerine devam ederken gain yeni sezonda sizlere muazzam diziler pek iddialı filmler uzun soluklu içerikler sunmak kolları sıvadık amacımız yerli platformun dünyada konuşulan takip edilen mecra haline gelmesi sektörün meşhur alicengiz oyunlarının sirayet edemeyeceğini düşünürsek ülkemdeki eşsiz yetenekleri dünyayla buluşturmak zor olmayacaktır umuyor küstah iddiamı lokal medyadan globalin tam göbeğine gönderiyorum yapmadığımız sayenizde haddi verdikleri mutluyum sınırsız hayallerimizin yol arkadaşı heyecanımı hepinizle paylaşmak istedim allah utandırmasın sanırım gidip kendime takım elbise almalıyım
48,Bayram hediyesi gibi prooram   @OguzhanUgur  bizlerleeeğ  https://piped.kavin.rocks/1hjIUZgl1ZA,bayram hediyesi prooram bizlerleeeğ
49,Öğrenci Affı Konusu #mevzularacikmikrofon,öğrenci affı konusu
50,İktisadi ve İdari Bilimler Fakültesi Mezunları Atama Konusu #mevzularacikmikrofon,iktisadi idari bilimler fakültesi mezunları atama konusu
51,Kardeş kanalımıza abone olabilirsiniz… https://piped.kavin.rocks/@4.17enkaz,kardeş kanalımıza abone olabilirsiniz
52,"Kafa kafaya giden bir seçim. Umarım liderler ülkenin yarısından oy almanın büyüsüne kapılmak yerine, ülkenin diğer yarısından neden oy alamadıklarına odaklanırlar.",kafa kafaya giden seçim umarım liderler ülkenin yarısından oy almanın büyüsüne kapılmak ülkenin yarısından oy alamadıklarına odaklanırlar
53,Zorunlu Açıklama !,zorunlu açıklama
54,KAMUOYUNA ARZ EDERİZ! ⚠️⚠️⚠️ @BabalaTv,kamuoyuna arz ederiz
55,Mevzular Açık Mikrofon 15. Bölüm yayında 🏹 https://piped.kavin.rocks/EWUEOnTvJjM,mevzular açık mikrofon bölüm yayında
56,Mevzular Açık Mikrofon 15.Bölümüyle Yayında…  İzlemek için; https://piped.kavin.rocks/EWUEOnTvJjM,mevzular açık mikrofon bölümüyle yayında izlemek
57,"Tüm gelirlerini anket aracılığı ile sizin seçtiğiniz kurumlara bağışladığımız Mevzular Açık Mikrofonu, yine sizler sayesinde 15 Bölümle seçimin sonuna taşıdık. Kazasız, belasız, yalansız, dolansız seçim misyonumuzu tamamladık. Bu esnada 2 adet dünya rekoru kırdık. ABD, Avrupa Birliği Ülkeleri, İngiltere ve Rus basınında manşet olduk. Ayrıca takdirinizle 7 yeni ödüle layık bulunduk. CHP, DEVA, HDP, AK Parti, TİP, GELECEK Partisi, ZAFER Partisi, ATA İTTİFAKI CB Adayı Sinan Oğan, MEMLEKET Partisi ve GENÇ Parti konuğumuzdu, onlara soru sormak içinse toplamda 8250 genç misafirimiz oldu. İcabet eden tüm siyasilerimizi cesaretlerinden dolayı kutluyor, duyarsız kalmayıp soru sormak için salonumuzu dolduran gençlere teşekkür ediyoruz. Ben de şahsım adına bu süreçte canla başla çalışan canım ekibime ve bizi yalnız bırakmayan gazetecilerimize şükranlarımı sunuyorum. Elbette M.A.M. tüm hızıyla devam edecek, fakat nihayet seçim meselesi konusunu amacımıza ulaştığımızı düşünerek BU AKŞAM yayınlanacak olan 15. Bölümle kapatıyoruz. Hatamız olduysa affola. En yakın zamanda, 15 Bölüme yayılan siyasilerle değil, tek bölümde aynı anda ağırlayabildiğimiz 15 siyasi konuk umuduyla saygılar sunuyor, bizi izlediğiniz için teşekkür ediyoruz.",gelirlerini anket aracılığı seçtiğiniz kurumlara bağışladığımız mevzular açık mikrofonu sizler sayesinde bölümle seçimin sonuna taşıdık kazasız belasız yalansız dolansız seçim misyonumuzu tamamladık esnada adet dünya rekoru kırdık abd avrupa birliği ülkeleri ingiltere rus basınında manşet olduk ayrıca takdirinizle yeni ödüle layık bulunduk chp deva hdp ak parti gelecek partisi zafer partisi ata ittifakı cb adayı sinan oğan memleket partisi genç parti konuğumuzdu soru sormak içinse toplamda genç misafirimiz oldu icabet eden siyasilerimizi cesaretlerinden kutluyor duyarsız kalmayıp soru sormak salonumuzu dolduran gençlere teşekkür ediyoruz şahsım adına süreçte canla başla çalışan canım ekibime yalnız bırakmayan gazetecilerimize şükranlarımı sunuyorum mam hızıyla devam edecek nihayet seçim meselesi konusunu amacımıza ulaştığımızı düşünerek akşam yayınlanacak bölümle kapatıyoruz hatamız olduysa affola yakın zamanda bölüme yayılan siyasilerle tek bölümde aynı anda ağırlayabildiğimiz siyasi konuk umuduyla saygılar sunuyor izlediğiniz teşekkür ediyoruz
58,Bu da youtube 👉🏻 https://piped.kavin.rocks/Q8rjsfTxbdI,youtube
59,M.A.M 15. Bölüm Uzun Tanıtım. Konuk Türkiye 13. Cumhurbaşkanı Adayı Sn. Kemal Kılıçdaroğlu. Programın tamamı yarın akşam 21.30'da BabalaTV'de #babalatv #mevzularaçıkmikrofon,mam bölüm uzun tanıtım konuk türkiye cumhurbaşkanı adayı kemal kılıçdaroğlu programın tamamı yarın akşam babalatv
60,"M.A.M. Tarihinin en uzun tanıtım videosu 15. Bölüm için geliyor. 16.30da yayında. Tam 16 dakika. Sorulara ve tanıtıma bakıyorum da… Sn. Kemal Kılıçdaroğlu’nu cesaretinden dolayı yürekten tebrik etmek lazım. Elbette dünya için normal, fakat bizim için büyük bir cesaret örneğidir yaptığı. Tanıtımda yalnızca sorular var bildiğiniz gibi, cevaplar için ana bölümü yani Çarşambayı bekleyiniz.",mam tarihinin uzun tanıtım videosu bölüm geliyor yayında tam dakika sorulara tanıtıma bakıyorum kemal kılıçdaroğlu cesaretinden yürekten tebrik etmek lazım dünya normal büyük cesaret örneğidir yaptığı tanıtımda yalnızca sorular bildiğiniz cevaplar ana bölümü çarşambayı bekleyiniz
61,"Baaazı basının yalan ve çirkin başlıkları yüzünden, dünden beri şahsıma ve hatta aileme küçük bir tayfa tarafından ağır hakaretler edilmektedir. Programa katılan bir genç “Oğuzhan Uğur beni ve ailemi hedef gösterdi! Can güvenliğim yok!” gibi yalan açıklamalarda bulunduğu için. Hatta Melih Gökçek de konuyu sahiplenip, benden bu genç adına hesap sormak istedi. Sonrasında paralı hesapların ve baaaaazı basının da desteğiyle olayın bokunu çıkarttılar afedersiniz. Bakın aslında o gence nasıl davranmışım. İzleyiniz. Bu diyalogtan sonra yanına da gittim, tatlı tatlı konuştum. Canlı yayınıno açmamış, özür de diledim. Tamamını ana bölümde izleyeceksiniz. Ne bir yerde adını geçirdim, ne de hedef gösterdim. Tivitlerim aşağıda, bakınız. Yalanlarının reytingi büyüyünce, hakkım olan yanıtı verip “yalan söylüyorlar, inanmayın dedim” Bu mu hedef göstermek? Teessüf ederim =) Video kesilmemiştir. Yine saf saf açıklama yapmışım videoda bir ton. Peh… Haa evet, elbette hukuk önünde hesap soracağız.",baaazı basının yalan çirkin başlıkları yüzünden dünden beri şahsıma aileme küçük tayfa tarafından ağır hakaretler edilmektedir programa katılan genç oğuzhan uğur ailemi hedef gösterdi güvenliğim yok yalan açıklamalarda bulunduğu melih gökçek konuyu sahiplenip benden genç adına hesap sormak istedi sonrasında paralı hesapların baaaaazı basının desteğiyle olayın bokunu çıkarttılar afedersiniz bakın gence davranmışım izleyiniz diyalogtan yanına gittim tatlı tatlı konuştum canlı yayınıno açmamış özür diledim tamamını ana bölümde izleyeceksiniz yerde adını geçirdim hedef gösterdim tivitlerim aşağıda bakınız yalanlarının reytingi büyüyünce hakkım yanıtı verip yalan söylüyorlar inanmayın dedim hedef göstermek teessüf ederim video kesilmemiştir saf saf açıklama yapmışım videoda ton peh haa evet hukuk önünde hesap soracağız
62,"Bir’i bir’e, bizi bize bölemezsiniz. Elbette deneyeceksiniz… Deneyin. Sonuç yine bir, sonuç yine biz çıkar. 🇹🇷",bölemezsiniz deneyeceksiniz deneyin sonuç sonuç çıkar
63,"Mevzular Açık Mikrofon’da soru sormak isterseniz bu postun altına #sorumvar yazın ve ekip arkadaşlarımız size ulaşsın.  -Mevzular Açık Mikrofon 15. Bölüm Cumhurbaşkanı Adayı Kemal Kılıçdaroğlu’nun katılımıyla gerçekleşecektir.  -Format gereği programa soru sormak için gelen misafirlerimiz karşıt görüşlü olmak zorundadır.  -Kemal Kılıçdaroğlunu savunan veya sorusu olmayan programa katılamaz.  -Listede ismi bulunmayan salona kesinlikle alınmayacaktır.  -Profillerinizin Açık Olması Gerekmektedir.  -Tarih, Konum ve Saat bilgisi paylaşılacaktır.",mevzular açık mikrofon soru sormak isterseniz postun altına yazın ekip arkadaşlarımız ulaşsın mevzular açık mikrofon bölüm cumhurbaşkanı adayı kemal kılıçdaroğlu katılımıyla gerçekleşecektir format gereği programa soru sormak gelen misafirlerimiz karşıt görüşlü olmak zorundadır kemal kılıçdaroğlunu savunan sorusu olmayan programa katılamaz listede ismi bulunmayan salona kesinlikle alınmayacaktır profillerinizin açık olması gerekmektedir tarih konum saat bilgisi paylaşılacaktır
64,Kutlu Olsun… 🇹🇷,kutlu olsun
65,"Dün, bugün, yarın ve daima… 🇹🇷 #19Mayıs1919",dün bugün yarın daima
